comp_id,begin,end,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,balsheet_flag,balsheet_length,balsheet_notfullyear,year,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,status_alive,ln_sales,sales_mil,sales_mil_log,d1_sales_mil_log,age,new,flag_low_d1_sales_mil_log,flag_high_d1_sales_mil_log,d1_sales_mil_log_mod,cagr_sales,fast_growth,ind2_cat,age2,foreign_management,gender_m,m_region_loc,flag_asset_problem,total_assets_bs,extra_exp_pl,extra_inc_pl,extra_profit_loss_pl,inc_bef_tax_pl,inventories_pl,material_exp_pl,profit_loss_year_pl,personnel_exp_pl,intang_assets_bs,curr_liab_bs,fixed_assets_bs,liq_assets_bs,curr_assets_bs,share_eq_bs,subscribed_cap_bs,tang_assets_bs,extra_exp_pl_flag_high,extra_inc_pl_flag_high,inventories_pl_flag_high,material_exp_pl_flag_high,personnel_exp_pl_flag_high,curr_liab_bs_flag_high,liq_assets_bs_flag_high,subscribed_cap_bs_flag_high,extra_exp_pl_flag_error,extra_inc_pl_flag_error,inventories_pl_flag_error,material_exp_pl_flag_error,personnel_exp_pl_flag_error,curr_liab_bs_flag_error,liq_assets_bs_flag_error,extra_profit_loss_pl_flag_low,inc_bef_tax_pl_flag_low,profit_loss_year_pl_flag_low,share_eq_bs_flag_low,extra_profit_loss_pl_flag_high,inc_bef_tax_pl_flag_high,profit_loss_year_pl_flag_high,share_eq_bs_flag_high,extra_profit_loss_pl_flag_zero,inc_bef_tax_pl_flag_zero,profit_loss_year_pl_flag_zero,share_eq_bs_flag_zero,extra_profit_loss_pl_quad,inc_bef_tax_pl_quad,profit_loss_year_pl_quad,share_eq_bs_quad,ceo_age,flag_low_ceo_age,flag_high_ceo_age,flag_miss_ceo_age,ceo_young,labor_avg_mod,flag_miss_labor_avg,fast_growth_f
236747096064,2012-01-01,2012-12-31,514.8148193359375,8818.5185546875,2559.25927734375,0,0,0,1185.1851806640625,648.14813232421875,0,5874.07421875,333.3333435058594,18222.22265625,9385.185546875,588.888916015625,29096.296875,3974.073974609375,11111.111328125,1185.1851806640625,0,365,0,2012,2007,NA,1,0,1,1969,2606,female,Domestic,2829,28,2,3,East,2007-08-09,NA,TRUE,10.27836618990732,0.029096296875,-3.5371443680569534,-0.716733884469329,5,0,0,0,-0.716733884469329,68.66629152555421,1,28,25,0,female,East,0,10003.703735351562,0,0,0,0.02227596642654268,0.2018839113439586,0.626272914884465,0.02023930806540566,0.32255601416202556,0,0.25583117463782123,0.1184746381958313,0.03332099313656303,0.8815253618041687,0.3972602627730371,1,0.1184746381958313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.962186802364567e-4,4.0962959096639464e-4,0.15781571637850253,43,0,0,0,0,0.1597222238779068,0,fast_growth
237046251520,2012-01-01,2012-12-31,17411.111328125,37025.92578125,20770.37109375,0,0,0,117811.109375,10822.22265625,0,7251.85205078125,9181.4814453125,232407.40625,14748.1484375,8818.5185546875,273340.75,115092.59375,740.74072265625,117811.109375,0,365,0,2012,2000,NA,1,0,0,1977,3245,male,Domestic,2830,28,2,3,West,2000-02-01,NA,TRUE,12.518474464350543,0.27334075,-1.2970360936137306,0.1245401032322917,12,0,0,0,0.1245401032322917,16.506443394683302,0,28,144,0,male,West,0,154837.03515625,0,0,0,0.03959242321626029,0.02653044615843503,0.8502479277239123,0.03226199735929421,0.05395517659734233,0,0.13414343069014523,0.7608716432481015,0.0592977089495884,0.2391283567518985,0.743314373294846,0.00478400223763487,0.7608716432481015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00156755997613546,0.0010408364736111,0.5525162575467096,35,0,0,0,1,0.0833333358168602,0,no_fast_growth
237315981312,2012-01-01,2012-12-31,1270.370361328125,8533.3330078125,1622.22216796875,0,0,0,34603.703125,1344.4444580078125,800,4703.70361328125,2374.073974609375,25540.740234375,18240.740234375,1255.5555419921875,46851.8515625,41514.81640625,1111.111083984375,33803.703125,0,365,0,2012,1993,NA,2,0,0.5,1961.5,5278.5,mix,Domestic,2932,29,1,2,West,1993-05-14,NA,TRUE,10.75474580796354,0.0468518515625,-3.060764750000735,-0.1899995064218567,19,0,0,0,-0.1899995064218567,-3.873434943110854,0,29,361,0,mix,West,0,43937.0361328125,0,0,0,0.02869565264062903,0.10039525560706064,0.5451383324798563,0.02679841884834127,0.38932805483774735,0.01820787359397131,0.03692152021964137,0.7875748154791374,0.05403354854053069,0.19421731092689123,0.944870661752408,0.02528871270755992,0.7693669418851662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.234404804716398e-4,7.181552527711329e-4,0.8927805674404331,50.5,0,0,0,0,0.2916666865348816,0,no_fast_growth
237372669952,2012-01-01,2012-12-31,3722.22216796875,640.74072265625,32007.408203125,0,2807.407470703125,2807.407470703125,17870.37109375,-12925.92578125,140.74073791503906,0,448.1481628417969,20144.4453125,11744.4443359375,-12970.3701171875,22192.591796875,-15859.2587890625,148.1481475830078,17729.62890625,0,365,0,2012,1999,NA,1,0,0,1961,2419,male,Domestic,2813,28,2,3,Central,1999-02-16,NA,TRUE,10.00751380932572,0.022192591796875,-3.8079967486385553,-0.3541015917013546,13,0,0,0,-0.3541015917013546,28.239078277802346,0,28,169,0,male,Central,0,18651.85255432129,0,0.1265020100580791,0.1265020100580791,-0.5824432720413546,0,0.9077103520345288,-0.5844459374507981,0.5292056215620236,0.00754567073190979,1,0.9581016706895298,0.02402700544284376,0.03435265857856046,-0.8502779411789958,0.00794281142591836,0.9505559222396048,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01600275854873434,0.3392401651462394,0.34157705380274217,0.7229725772555918,51,0,0,0,0,0.125,0,no_fast_growth
237664829440,2012-01-01,2012-12-31,65088.890625,669496.3125,159803.703125,3703.70361328125,6314.81494140625,2611.111083984375,237800,239781.484375,0,10011.111328125,518674.0625,352229.625,174277.78125,153803.703125,803892.5625,727177.75,14814.814453125,237800,0,365,0,2012,1994,NA,1,0,0,1944,2567,male,Domestic,3311,33,2,3,West,1994-07-31,NA,TRUE,13.597220910500646,0.8038925625,-0.2182896474636284,0.40131796352416865,18,0,0,0,0.40131796352416865,7.373163758208845,0,33,324,0,male,West,0,907296.3125,0.00460721218985186,0.00785529713295021,0.00324808463940027,0.2982755352647015,0.01245329512315894,0.4381550986174225,0.19132370455909023,0.2167923792055235,0,0.17613176745386586,0.2620973950007099,0.5716699774419065,0.7379026049992902,0.8014776870373316,0.01632852933382224,0.2620973950007099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0550053824708012e-5,0.0889682949374442,0.03660475992621406,0.6423664828187108,68,0,0,0,0,0.9097222089767456,0,no_fast_growth
237699416064,2012-01-01,2012-12-31,266.6666564941406,5651.85205078125,4148.14794921875,0,0,0,0,-770.370361328125,0,3162.962890625,1362.9630126953125,14851.8515625,13025.92578125,-825.9259033203125,27651.8515625,1503.7037353515625,370.370361328125,0,0,365,0,2012,2007,NA,2,0,0,1970,3554,male,Domestic,2893,28,2,3,East,2007-04-01,NA,TRUE,10.227447968994188,0.0276518515625,-3.588062588970087,-0.09084369448812968,5,0,0,0,-0.09084369448812968,23.433120479625067,0,28,25,0,male,East,0,5651.85205078125,0,0,0,-0.0278596302886589,0.1143852115463561,0.5371015220782288,-0.02986873777524504,0.4710688451298893,0,0.7339448930984235,0,0.2411533423821509,1,0.26605504210672093,0.06553079556937962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.761589998207605e-4,8.921414962863503e-4,0.07078528543040905,42,0,0,0,0,0.738821249653267,1,no_fast_growth
238112833536,2012-01-01,2012-12-31,62233.33203125,199129.625,89237.0390625,0,13244.4443359375,13244.4443359375,489622.21875,191122.21875,1062.9630126953125,385.1851806640625,24381.482421875,165637.03125,34744.4453125,178548.140625,449807.40625,480044.4375,148.1481475830078,488559.25,0,365,0,2012,2004,NA,1,0,0,1972,2684,male,Domestic,2841,28,2,3,Central,2004-07-15,NA,TRUE,13.016574784023195,0.44980740625,-0.7989357739410785,-0.3167336446024528,8,0,0,0,-0.3167336446024528,56.685748896065235,1,28,64,0,male,Central,0,689814.8067626953,0,0.02944470044714276,0.02944470044714276,0.42489789206311007,8.56333567015522e-4,0.3682398932265247,0.3969435321519898,0.07724293737660083,0.00154093968739784,0.1293637628355499,0.7097879227147932,0.03534496821878531,0.28867113759780894,0.6959033537607742,2.1476510235880249e-4,0.7082469747102288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.669903844219691e-4,0.18053821867967432,0.15756416771729775,0.4842814777754932,40,0,0,0,0,0.5,0,fast_growth
238528708608,2012-01-01,2012-12-31,481.4814758300781,10770.3701171875,722.22222900390625,3888.888916015625,0,-3888.888916015625,11929.6298828125,1607.4073486328125,0,0,10770.3701171875,6351.85205078125,0,1448.148193359375,13385.185546875,21651.8515625,11111.111328125,11929.6298828125,0,365,0,2012,1997,NA,2,0,0.5,1970.5,4177.5,mix,Domestic,2752,27,2,1,Central,1997-06-19,NA,TRUE,9.501903818157588,0.013385185546875,-4.313606739806686,0.7315049866273702,15,0,0,0,0.7315049866273702,-39.17646848822045,0,27,225,0,mix,Central,0,22700,0.29053679550400796,0,-0.29053679550400796,0.12008853691296711,0,0.47454344420830225,0.10819037123452276,0,0,0.03181595722484168,0.5255343560710353,0.47446564392896473,0.47446564392896473,0.9538260600220264,0.48947626996145377,0.5255343560710353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08441162954173774,0.01442125669789706,0.01170515642786385,0.9097841527771424,41.5,0,0,0,0,0.0833333358168602,0,no_fast_growth
238622638080,2012-01-01,2012-12-31,2803.70361328125,32818.51953125,36659.2578125,7.407407283782959,0,-7.407407283782959,123240.7421875,1862.9630126953125,0,0,6003.70361328125,37496.296875,9800,1696.2962646484375,62270.37109375,119507.40625,12037.037109375,123240.7421875,0,365,0,2012,1990,NA,1,0,1,1975,3196,female,Domestic,3320,33,2,3,West,1990-10-31,NA,TRUE,11.039241007279443,0.06227037109375,-2.776269550684829,0.8689829714266284,22,0,0,0,0.8689829714266284,24.21405958056415,0,33,484,0,female,West,0,156059.26171875,1.1895556672740676e-4,0,-1.1895556672740676e-4,0.02991732632989392,0,0.6021530981170506,0.02724082472697344,0.1573782174068915,0,0.23490600563372724,0.7897047623460148,0.03847066522781021,0.21029523765398517,0.7657822094876768,0.07713119347615618,0.7897047623460148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.415042685543852e-8,8.950464147293644e-4,7.42062531805688e-4,0.5864223923678281,37,0,0,0,1,0.1818181872367859,0,no_fast_growth
238719795200,2012-01-01,2012-12-31,6044.4443359375,42762.96484375,117151.8515625,0,0,0,5659.25927734375,3085.185302734375,0,0,13507.4072265625,131825.921875,24248.1484375,3085.185302734375,166270.375,-68729.6328125,11111.111328125,5659.25927734375,0,365,0,2012,1991,NA,2,0,0,1953,7835.5,male,Domestic,2822,28,2,1,Central,1991-06-24,NA,TRUE,12.021370507399658,0.166270375,-1.794140050564617,0.3741083881775959,21,0,0,0,0.3741083881775959,-8.337696937506433,0,28,441,0,male,Central,0,48422.22412109375,0,0,0,0.01855523151814852,0,0.7928407082440272,0.01855523151814852,0.14583565134498555,0,1,0.11687317920777736,0.2789505742814153,0.8831268207922226,-1,0.22946305193124664,0.11687317920777736,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.442966166920925e-4,3.442966166920925e-4,1,59,0,0,0,0,0.3333333432674408,0,no_fast_growth
239550365696,2012-01-01,2012-12-31,2225.926025390625,20311.111328125,4429.62939453125,0,0,0,4174.07421875,3851.851806640625,0,0,12829.6298828125,89414.8125,15096.2958984375,3481.4814453125,111055.546875,8944.4443359375,1851.851806640625,4174.07421875,0,365,0,2012,2008,NA,1,0,1,1951,3252,female,Domestic,2829,28,2,2,East,2008-01-23,NA,TRUE,11.617785777422288,0.111055546875,-2.1977247805419866,0.23530655832544944,4,0,0,0,0.23530655832544944,-20.64121852630053,0,28,16,0,female,East,0,24485.185546875,0,0,0,0.03468401097494145,0,0.805135943372932,0.03134900996193487,0.1359346410263445,0,0.18091059126552528,0.1704734567258662,0.5239751954605842,0.8295265432741338,0.3653002473195088,0.07563152025519257,0.1704734567258662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00120298061730985,9.827604255934915e-4,0.13344427069169432,61,0,0,0,0,0.0833333358168602,0,no_fast_growth
239597043712,2012-01-01,2012-12-31,16222.22265625,113444.453125,114633.34375,0,0,0,36511.109375,-43596.296875,0,79948.1484375,12092.5927734375,217107.40625,50577.77734375,-43881.48046875,276925.9375,34748.1484375,3703.70361328125,36511.109375,0,365,0,2012,2009,NA,1,0,1,1971,1733,female,Domestic,3320,33,2,1,Central,2009-03-09,NA,TRUE,12.53150537577256,0.2769259375,-1.284005182191714,0.03751459190634887,3,0,0,0,0.03751459190634887,-13.612776767115752,0,33,9,0,female,Central,0,149955.5625,0,0,0,-0.1574294458243009,0.2886986649183051,0.783990868497105,-0.15845926483051087,0.18264008709458643,0,0.7644487596117017,0.24347952664310135,0.08064117510437467,0.7565204733568986,0.23172297084678004,0.02469867440416723,0.24347952664310135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0247840304125465,0.02510933861062598,0.05369553521805767,41,0,0,0,0,0.465277761220932,0,no_fast_growth
239623553024,2012-01-01,2012-12-31,170.37037658691406,10933.3330078125,1440.74072265625,0,0,0,203.70370483398435,2759.25927734375,0,0,10933.3330078125,337970.375,0,2481.4814453125,342285.1875,9696.2958984375,1851.851806640625,203.70370483398435,0,365,0,2012,2010,NA,1,0,0,1973,2493,male,Domestic,2841,28,2,1,Central,2010-03-03,NA,TRUE,12.743399550137609,0.3422851875,-1.0721110078266671,-0.4358551359928309,2,0,0,0,-0.4358551359928309,-12.263362679487788,0,28,4,0,male,Central,0,11137.036712646484,0,0,0,0.00806128742379116,0,0.987394101008242,0.00724974826821128,0,0,0.12936481757487966,0.01829065577225509,0.9817093442277448,0.9817093442277448,0.8706351742045553,0.1662786838565221,0.01829065577225509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.498435492897355e-5,5.2558849952432526e-5,0.7580056065621963,39,0,0,0,1,0.738821249653267,1,no_fast_growth
